Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,Size
0.10999999999999999,0.24694054066255466,0.3572632163085614,0.51445169545842,0.7751570549746563,0.45753487539376403,0.3291643774165127,0.4213580498277775,0.5209671960570612,0.7192202368714191,0.5667529892137546,0.3375002238574022,0.3376842494440909,0.888591688742868,0.895559295809722,0.955833740644624,0.9319708259882002,0.44934763508691333,0.5477759939392264,0.3653786728478692,0.4188905826472683,
0.11099999999999999,0.2625237657330285,0.36046366106838756,0.5116717239141904,0.8142024974060766,0.49398682918675485,0.3062327072858775,0.46674150836735395,0.49552273227070803,0.7069494238537575,0.5479524049248568,0.3272199931190721,0.33973015538606277,0.8818571593139024,0.893499826120038,0.9575935260294925,0.9316308906703071,0.4504302921513431,0.5463706344908266,0.3620323657512745,0.41638594649759597,
0.11199999999999999,0.2979643029025434,0.34289528950178094,0.5054956087682041,0.8551637721019103,0.5327809976269724,0.30362938484091284,0.4932696650345301,0.4686159558989838,0.6986439363431837,0.5307320279929244,0.31593569187607445,0.34649728874433827,0.8750045313990416,0.8925884091403193,0.9601280579311063,0.9321394612410907,0.45151491106544506,0.5447288052003486,0.3590473550061943,0.41456195359811165,20.0
0.11300000000000002,0.3376615671518072,0.317190992784282,0.49928447574387547,0.892969531792396,0.5789562525641558,0.3052546648251484,0.5022546408407624,0.45498491495720994,0.6932644313909901,0.5102036691151313,0.30040454555581086,0.3596598825825651,0.8713826482956224,0.8880748844875411,0.9606781380298257,0.9304032661048846,0.4543547569943519,0.5419289059444877,0.3560301848273437,0.4127658772278542,20.0
0.11400000000000002,0.37445505323779504,0.2934509431376562,0.4980724813470121,0.9434065376276359,0.6260234830240048,0.31188222651781494,0.4950341911417252,0.4436655701847266,0.6929006982947623,0.4884772997720395,0.2794848761091411,0.3689645258089066,0.8759869477906767,0.8832604772020989,0.9607978381002961,0.9285994192912272,0.45790579854455093,0.5400700171109538,0.3535403669095259,0.4110197282025151,20.0
0.11500000000000002,0.40365196177442997,0.28100616100608233,0.5236568578657015,0.9726246962273355,0.6558315170530262,0.3296719012791969,0.4790777061612316,0.43757369028756793,0.6969961559576197,0.4614670234267997,0.25415358669970556,0.3806815323342897,0.8777362112749245,0.879473129486706,0.9610742359645842,0.9269791452737501,0.4586389705623057,0.5388458475595412,0.35105502499841046,0.41007427601028185,20.0
0.11600000000000002,0.4302302110984383,0.2773851782349772,0.5707979365711129,0.9876438928656608,0.6746276302110688,0.3483020303736435,0.45618136610835225,0.4325927630162249,0.693690549363273,0.4367021298884319,0.23034324964325992,0.38649701204874587,0.8819414969650053,0.8771933363106871,0.9606296011640931,0.9260204018631046,0.4591408620514562,0.5372432265275242,0.34858901149672084,0.4077753170762488,20.0
0.11700000000000002,0.44906565642695995,0.2770118668304644,0.6147242143898202,1.0,0.691896488992159,0.36902967826731414,0.4256466730541104,0.4243589188266861,0.6824305472592286,0.4084739147477454,0.2068034504125531,0.3945130899414415,0.8851954479462371,0.8762575931016914,0.9599663825054643,0.9245883389363295,0.45884274260230556,0.5358215173182135,0.3470986629505842,0.4073656143512948,
0.118,0.46155644457017664,0.2703114721105302,0.648627739946142,0.9748114328361213,0.7035501507956752,0.3918391763721001,0.3939625146403479,0.4164376064844944,0.6692205934378113,0.38186792104455,0.1802135719792376,0.4001242961357554,0.8892925620681358,0.8730745957993656,0.9573620233691623,0.9213227015300008,0.45775304069541456,0.5337154400687346,0.3456531010293622,0.40450974178688154,
0.119,0.4711173699246938,0.27421817771087786,0.680066369595481,0.9480495368046171,0.7028727461027195,0.4254578754436864,0.3574286362103537,0.4170948328822097,0.6561345525545714,0.36171275511625733,0.15232913080340588,0.40918097262692477,0.8916519199143434,0.8716481499965762,0.9559780507327619,0.9205421328750827,0.45930231229493645,0.5322034573549892,0.34464658858311736,0.40324086322930236,
