Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,,Size
0.7262,-50.77824375,-26.8856879,-31.02010373,-26.39451005,-37.20423492,-32.28958901,86.24091907,74.22944681,-12.87305431,-145.4715161,71.16256589,-21.30202818,-0.352894414,-0.703084242,-0.57657469,-0.529895021,-21.58885082,-31.87594183,-27.88594632,-28.17525102,,20
0.732,-50.11503776,-26.8199457,-31.75086061,-25.24883497,-38.14529705,-32.44956033,3.520758985,60.6299211,-16.43704414,-162.7648538,60.54990251,-27.97628688,-0.336581749,-0.73757569,-0.585911803,-0.622858935,-21.84091701,-32.62270299,-28.34437769,-28.1150904,,20
0.7378,-43.34122611,-27.23359033,-32.43129741,-24.29941321,-39.30198495,-32.62088176,-58.51716686,48.16079299,-16.23754418,178.8103395,51.2957105,-35.71653839,-0.291887171,-0.806253573,-0.582647753,-0.682311557,-21.97031532,-33.36176972,-28.99148211,-27.81044929,,20
0.7436,-40.17966798,-27.82472087,-32.53374576,-23.76279212,-40.2952204,-32.63463042,-95.55137689,36.59821344,-14.73989097,160.3440471,45.49466509,-43.98333289,-0.264859935,-0.908053403,-0.577689383,-0.674649192,-22.4220783,-33.69686077,-29.54496861,-27.25918691,,20
0.7494,-38.23488414,-28.46702989,-32.77533755,-23.43600917,-41.86485824,-33.25286715,-124.9805585,26.46966345,-15.20080444,142.1937336,42.85056086,-54.38574755,-0.244305288,-1.009296337,-0.587378301,-0.637568035,-22.87136461,-33.84567969,-30.52473696,-27.25921246,,20
0.7552,-37.01220318,-29.22119503,-33.00611336,-23.2961565,-43.0139434,-34.24227504,-151.1911864,16.80386828,-11.97427847,124.4502754,50.21373486,-60.49435907,-0.222522199,-1.075533711,-0.586254252,-0.590267188,-23.24842952,-33.5400763,-31.26349744,-27.36468933,,20
0.761,-36.1459111,-30.11524753,-32.43477205,-23.38999176,-42.23271571,-35.01912817,-175.7490767,6.963641832,-7.501609365,107.2102446,61.49833386,-66.59828079,-0.206575826,-1.130890061,-0.62009086,-0.575128862,-23.67870642,-33.14528316,-32.01642078,-27.54807057,,20
0.7668,-35.61885094,-31.21283231,-31.6304705,-23.72818058,-40.82163427,-36.02689402,163.8309582,-0.230638953,-7.178977044,91.15260734,66.80500433,-71.1988777,-0.2127397,-1.102357302,-0.628849527,-0.580107346,-23.95334642,-32.75435637,-32.75908568,-27.9754296,,20
0.7726,-35.06037732,-32.2434163,-30.51585461,-24.08840357,-38.92647667,-36.80816698,145.5073846,-6.640264411,-9.003010536,77.25458471,67.16079914,-74.66070672,-0.219784679,-1.063029709,-0.651715039,-0.60940255,-24.31463612,-32.62681736,-33.23207373,-27.96077804,,20
0.7784,-34.60535216,-33.02375439,-29.69599336,-24.45470899,-36.96729413,-37.71532554,128.3074017,-11.91753565,-13.94353961,63.69855655,65.6040098,-79.09128887,-0.258628113,-1.049543005,-0.68390895,-0.644091957,-24.68653892,-32.92410439,-33.90674398,-28.19124475,,20
